env,method,seed,timestep,return,ep_length
car_flag,cgf,9,60000,-0.492,50.2
car_flag,cgf,9,80000,-0.03499999999999997,44.5
car_flag,cgf,9,100000,-0.1955,40.55
car_flag,cgf,9,120000,-0.7955,40.55
car_flag,cgf,9,140000,-0.5810000000000001,39.1
car_flag,cgf,9,160000,-0.3745,38.45
car_flag,cgf,9,180000,-0.457,36.7
car_flag,cgf,9,200000,-0.36350000000000005,37.35
car_flag,cgf,9,220000,-0.25349999999999995,36.35
car_flag,cgf,9,240000,-0.3695,37.95
car_flag,cgf,9,260000,-0.666,37.6
car_flag,cgf,9,280000,-0.4525,36.25
car_flag,cgf,9,300000,-0.4645,37.45
car_flag,cgf,9,320000,-0.155,36.5
car_flag,cgf,9,340000,-0.8650000000000002,37.5
car_flag,cgf,9,360000,-0.36400000000000005,37.4
car_flag,cgf,9,380000,-0.265,37.5
car_flag,cgf,9,400000,-0.47199999999999986,38.2
car_flag,cgf,9,420000,-0.3685,37.85
car_flag,cgf,9,440000,-0.26149999999999995,37.15
car_flag,cgf,9,460000,-0.7705,38.05
car_flag,cgf,9,480000,-0.2655,37.55
car_flag,cgf,9,500000,-0.36550000000000005,37.55
car_flag,cgf,9,520000,-0.47700000000000004,38.7
car_flag,cgf,9,540000,-0.472,38.2
car_flag,cgf,9,560000,-0.568,37.8
car_flag,cgf,9,580000,-0.06499999999999999,37.5
car_flag,cgf,9,600000,-0.2605,37.05
car_flag,cgf,9,620000,-0.27099999999999996,38.1
car_flag,cgf,9,640000,-0.46799999999999997,37.8
car_flag,cgf,9,660000,-0.06449999999999997,37.45
car_flag,cgf,9,680000,-0.36,37.0
car_flag,cgf,9,700000,-0.6609999999999999,37.1
car_flag,cgf,9,720000,-0.36150000000000004,37.15
car_flag,cgf,9,740000,-0.2665,37.65
car_flag,cgf,9,760000,-0.258,36.8
car_flag,cgf,9,780000,-0.46399999999999997,37.4
car_flag,cgf,9,800000,-0.15849999999999997,36.85
car_flag,cgf,9,820000,-0.8630000000000001,37.3
car_flag,cgf,9,840000,-0.1650000000000001,37.5
car_flag,cgf,9,860000,-0.261,37.1
car_flag,cgf,9,880000,-0.5654999999999999,37.55
car_flag,cgf,9,900000,-0.4589999999999999,36.9
car_flag,cgf,9,920000,-0.7609999999999999,37.1
car_flag,cgf,9,940000,-0.462,37.2
car_flag,cgf,9,960000,-0.46799999999999986,37.8
car_flag,cgf,9,980000,-0.45899999999999996,36.9
car_flag,cgf,9,1000000,-0.36300000000000004,37.3
car_flag,gaussian,0,20000,-1.6000000000000003,160.0
car_flag,gaussian,0,40000,-1.5330000000000004,158.35
car_flag,gaussian,0,60000,-0.2965,70.65
car_flag,gaussian,0,80000,0.07250000000000002,63.75
car_flag,gaussian,0,100000,0.11000000000000001,50.0
car_flag,gaussian,0,120000,-0.06599999999999999,47.6
car_flag,gaussian,0,140000,0.37500000000000006,53.5
car_flag,gaussian,0,160000,0.0925,51.75
car_flag,gaussian,0,180000,0.251,45.9
car_flag,gaussian,0,200000,-0.1285,53.85
car_flag,gaussian,0,220000,0.385,52.5
car_flag,gaussian,0,240000,0.18400000000000002,42.6
car_flag,gaussian,0,260000,0.326,58.4
car_flag,gaussian,0,280000,0.15899999999999997,55.1
car_flag,gaussian,0,300000,0.21600000000000003,59.4
car_flag,gaussian,0,320000,0.21950000000000003,59.05
car_flag,gaussian,0,340000,0.329,58.1
car_flag,gaussian,0,360000,0.20800000000000002,60.2
car_flag,gaussian,0,380000,0.3565,55.35
car_flag,gaussian,0,400000,0.026000000000000023,58.4
car_flag,gaussian,0,420000,0.4535,55.65
car_flag,gaussian,0,440000,-0.07649999999999998,58.65
car_flag,gaussian,0,460000,0.123,58.7
car_flag,gaussian,0,480000,0.3775,63.25
car_flag,gaussian,0,500000,0.3795,63.05
car_flag,gaussian,0,520000,0.31149999999999994,59.85
car_flag,gaussian,0,540000,0.4875,52.25
car_flag,gaussian,0,560000,0.22400000000000003,58.6
car_flag,gaussian,0,580000,0.22649999999999998,58.35
car_flag,gaussian,0,600000,0.33899999999999997,67.1
car_flag,gaussian,0,620000,0.4425,56.75
car_flag,gaussian,0,640000,0.4029999999999999,60.7
car_flag,gaussian,0,660000,0.4425,56.75
car_flag,gaussian,0,680000,0.3195,69.05
car_flag,gaussian,0,700000,0.29599999999999993,71.4
car_flag,gaussian,0,720000,0.337,67.3
car_flag,gaussian,0,740000,0.321,68.9
car_flag,gaussian,0,760000,0.44699999999999995,56.3
car_flag,gaussian,0,780000,0.39,62.0
car_flag,gaussian,0,800000,0.4565,55.35
car_flag,gaussian,0,820000,0.41000000000000003,60.0
car_flag,gaussian,0,840000,0.40099999999999997,60.9
car_flag,gaussian,0,860000,0.4654999999999999,54.45
car_flag,gaussian,0,880000,0.4045000000000001,60.55
